session_id,timestamp,sender,message
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Oi
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Oi
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,AI,Olá! Sou um assistente de marketplace e estou aqui para te ajudar a encontrar os produtos que você está interessado. Como posso ajudar você hoje?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,AI,Olá! Sou um assistente de marketplace e estou aqui para te ajudar a encontrar os produtos que você está interessado. Como posso ajudar você hoje?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Quais produtos vocês tem?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Quais produtos vocês tem?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,AI,"Temos os seguintes produtos disponíveis:
- Laptop: UltraBook Pro 15 - R$ 7.999,00
- Câmera: PhotoSnap DSLR - R$ 4.499,00
- Tablet: TabMaster 10 - R$ 2.499,00
- Fone de Ouvido: SoundBuds Plus - R$ 399,00

Posso te ajudar com mais informações sobre algum desses produtos?"
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,AI,"Temos os seguintes produtos disponíveis:
- Laptop: UltraBook Pro 15 - R$ 7.999,00
- Câmera: PhotoSnap DSLR - R$ 4.499,00
- Tablet: TabMaster 10 - R$ 2.499,00
- Fone de Ouvido: SoundBuds Plus - R$ 399,00

Posso te ajudar com mais informações sobre algum desses produtos?"
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Quais as características desse fone?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,Human,Quais as características desse fone?
9dbc5689-e012-4906-a4ae-dc9b767f7d63,2024-06-02T20:10:39.928405,AI,"O fone de ouvido SoundBuds Plus possui um preço de R$ 399,00. Infelizmente, não possuo maiores detalhes sobre as características específicas deste produto."
